"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5090","5740","5940","6290","5740","6410","6440","7090","7460","7560","7650","8010","7610","8320","8560","9370","10400","11600","12300","11720","12560","13950","14820","15640","",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","500","470","470","480","520","500","520","540","560","550","580","600","570","610","620","680","740","770","830","880","910","950","600","",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19150","19180","19530","20300","21500","22390","22990","24160","25210","26650","28240","29160","29850","31240","32900","35230","37260","38700","39500","38060","39200","40570","41170","42610","",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6454.35860285464","6684.59865662908","7148.961017454","7656.29678973055","8175.02381664643","8587.11174052276","8990.67587345357","9252.52483226441","9916.07522611457","10698.9784587771","11450.1689510996","12076.3692475098","12956.740869333","13937.1499304096","15416.54603505","16986.0855268689","18686.8568820486","18811.3347844598","19550.7322789539","20808.6271393622","21308.9597846203","22099.3618402414","",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27320","27650","27880","28380","28880","29680","30530","32370","33610","34430","36830","36790","37390","38820","40140","42500","46710","47720","47200","51140","54430","54760","56120","59210","",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4140","4590","5290","5790","6140","6950","7600","8180","8540","8420","9320","9720","9940","10320","10880","11700","13400","14660","14950","14840","17010","19040","20140","21030","",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","970","1070","1240","1420","1630","1790","1990","2200","2360","2570","2830","3100","3430","3840","4330","4920","5710","6690","7470","8110","9000","9940","10920","11850","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1820","1810","1790","1850","1970","2130","2260","2340","2340","2250","2280","2250","2250","2330","2420","2490","2560","2640","2690","2730","2600","2880","3090","",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1710","1620","1570","1440","1450","1500","1560","1620","1700","1750","1780","1840","1920","2030","2140","2190","2300","2360","2420","2460","2490","2580","2660","2770","",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2830","2930","3130","2850","2850","2000","2030","2500","2700","2390","2590","2670","2830","2910","2780","2940","3110","3180","3570","3690","4070","4140","4420","4600","",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4760","4970","5250","5450","5870","6200","6300","6510","6530","6240","6520","6650","6800","7040","7500","7970","8640","9320","9680","9810","10150","10810","11360","11960","",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","950","1040","1070","1000","1040","1020","1050","1040","1050","1070","1190","1200","1210","1240","1280","1320","1340","1350","1360","1380","1420","1460","1490","",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","1070","1190","1280","1510","1710","1890","2100","2330","2570","2910","3030","3140","3300","3680","3960","4350","5230","5640","5600","5620","5960","6090","6210","",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4580","4730","5210","5590","5910","6080","6110","6380","6720","6590","6990","7360","7650","8000","8600","9360","10440","11010","11570","11110","11830","12510","13150","13570","",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5264.27501687685","5510.14361577503","5678.25049601732","6119.66656445507","6337.59223485922","6623.89123334029","6964.733456262","7033.18054011872","7243.23771140421","7474.24262719513","7844.74179218766","8101.60033322755","8662.37877901363","9458.74547625714","10327.7050962178","10966.9961185051","12888.3817961752","13078.8084753502","13510.2183258798","12979.3049955813","13157.8429602119","13000.1218911445","13332.2773756426","13649.5235101494","",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8570","7870","7090","6140","6280","6490","7120","7420","7500","8040","8660","9150","9370","9920","10740","12330","14280","15650","16630","17020","17660","18520","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12520","12710","13790","13900","14680","15090","15470","15790","18220","17360","18180","19800","20670","21350","22210","23400","25080","26380","31190","30170","29990","30800","28850","27630","",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11760","12120","12730","13690","14500","14720","14790","15120","16000","17170","17680","18930","20010","21280","22950","24950","25350","25210","25020","26270","26610","26740","",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19380","20750","21430","21540","22300","23020","23620","24110","24690","25540","26440","27450","28060","29040","30870","32460","35340","37310","38850","38100","40390","43470","44310","45620","",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1960","1950","1840","1800","1750","1670","1650","1630","1670","1690","1730","1780","1950","2080","2180","","","","","","","","","",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4180","4290","4490","4690","4750","4910","5030","5290","5700","5630","5660","6110","6020","6630","6910","7190","8100","8730","9620","9690","9970","10120","9970","10060","",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18280","19070","19910","20440","21980","23100","24170","25370","26350","27310","28980","29830","31230","31040","33270","34340","37660","38840","41290","40170","42500","43700","43890","44950","",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3270","3360","3720","3940","4070","4310","4650","5020","5340","5670","6040","6190","6550","6410","6460","7380","8340","9170","9640","9680","10520","10860","11190","11630","",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6320","6200","6330","6270","6170","6340","6590","6720","7060","7240","7450","8030","8420","9100","9570","10270","10670","11430","11740","11790","12230","12490","12860","13070","",
"East Asia & Pacific (developing only)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1358.63528907013","1465.71606766547","1638.50250016937","1869.24663730146","2091.82411207946","2295.84408385394","2516.0995080099","2707.84235002825","2714.71358784146","2877.72108626071","3128.58227850643","3357.64087710036","3636.97721592476","4056.86498849552","4500.08872972246","5028.29590190354","5708.24920351198","6522.96637121607","7172.20092362821","7660.31133846883","8416.83805199373","9151.20875741148","9976.08908541182","10728.2998369213","",
"East Asia & Pacific (all income levels)","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3123.90517064078","3334.68257650229","3554.77218689054","3830.37164999258","4111.76480473175","4390.17632725716","4691.30739857974","4952.70092855309","4919.32215750926","5137.51331064751","5514.68703550431","5794.34539630478","6144.57744083027","6601.51273655398","7168.45911481867","7773.13413367284","8571.34550124543","9512.9656203512","10138.6624943039","10468.3632204948","11359.3663303423","12138.6558860166","12980.1627040495","13780.0814352678","",
"Europe & Central Asia (developing only)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5144.13238263199","4913.66746861617","4637.06041419652","4513.72510069903","4154.92607923823","4176.31839520668","4313.89462125844","4500.62211743817","5200.24926109634","5163.01159296227","5665.95598540092","5910.36211533716","6269.76595021028","6680.99150951991","7527.61567467374","8283.7080047183","9363.04004427654","10280.3575865738","11246.7992788677","11007.4232144777","11748.5927719179","12681.2559547402","13070.0737423534","13705.9234499048","",
"Europe & Central Asia (all income levels)","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11286.1347501212","11597.1956564776","11615.8029211479","11695.0583234314","11924.4681116965","12370.3739837032","12823.0862097099","13430.4965563498","14065.1013545289","14566.7473314622","15741.7572014756","16532.3412942884","17216.0700497186","17891.4313078768","19059.2198321524","20296.2355221643","22440.8091893632","23902.2008586022","25368.9878696491","24819.6075210799","25677.2747015931","27016.1219240902","27300.8361363584","28016.4978608323","",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4490","4800","4970","5110","5350","5480","5550","5790","5890","5430","5450","5820","6100","6260","6800","7310","7760","8010","8670","8670","8990","9730","10260","10720","",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3800","3960","4160","4300","4540","4800","5080","5390","5590","5900","6250","6520","6610","6820","7170","7600","8300","9000","9660","9950","10200","10360","10610","10790","",
